WORD,DEFINITION
SBSS,Seligmann\u0027s buffered salt solution
SBT,serum bactericidal titer; single-breath test; sulbactam
SBTI,soybean trypsin inhibitor
SBTPE,State Boards Test Pool Examination
SBTT,small bowel transit time
SBV,singular binocular vision
SC,conditioned stimulus; sacrococcygeal; Sanitary Corps; scalenus [muscle]; scapula; Schwann cell; sciatica; science; sclerosing cholangitis; secondary cleavage; secretory component; self care; semicircular; semilunar valve closure; serum complement; serum creatinine; service-connected; sex chromatin; Sezary cell; short circuit; sick call; sickle cell; sigmoid colon; silicone-coated; single chemical; skin conduction; slow component; Snellen chart; sodium citrate; soluble complex; special care; spinal canal; spinal cord; squamous carcinoma; start conversion; statistical control; sternoclavicular; stratum corneum; subcellular; subclavian; subcorneal; subcortical; subcostal; subcutaneous; succinylcholine; sugar-coated; superior colliculus; supportive care; supraclavicular; surface colony; systemic candidiasis; systolic click
S/C,"subcutaneous, sugar-coated [pill]"
S-C,sickle cell
S&C,sclerae and conjunctivae
Sc,"scandium; scapula; science, scientific; screening"
sC,statcoulomb
sc,subcutaneous
SCA,self-care agency; severe congenital anomaly; sickle-cell anemia; single-camera autostereoscopic [imaging]; single-channel analyzer; sperm-coating antigen; spinocerebellar ataxia; steroidal-cell antibody; subclavian artery; superior cerebellar artery; suppressor cell activity
SCAA,Skin Care Association of America; sporadic cerebral amyloid angiopathy
SCABG,single coronary artery bypass
SCAD,short chain acyl-coenzyme A dehydrogenase
SCAG,Sandoz Clinical Assessment-Geriatric [Rating]
SCH,student contact hour; succinylcholine
SCAMIA,Symposium on Computer Applications in Medical Care
SCAMIN,Self-Concept and Motivation Inventory
SCAN,suspected child abuse and neglect; systolic coronary artery narrowing
SCAP,scapula
SCARF,"skeletal abnormalities, cutis laxa, craniostenosis, psychomotor retardation, facial abnormalities [syndrome]"
SCAT,sheep cell agglutination test; sickle cell anemia test; Sports Competition Anxiety Test
SCAVF,spinal cord arteriovenous fistula
SCAVM,spinal cord arteriovenous malformation
SCB,strictly confined to bed
SCBA,self-contained breathing apparatus
SCBE,single contrast barium enema
SCBF,spinal cord blood flow
SCBG,symmetric calcification of the basal cerebral ganglia
SCBH,systemic cutaneous basophil hypersensitivity
SCBP,stratum corneum basic protein
SCC,self-care center; sequential combination chemotherapy; services for crippled children; short-course chemotherapy; small-cell carcinoma; small cleaved cell; spinal cord compression; squamous cell carcinoma
SC4C,subcostal four-chamber [view]
SCCA,single-cell cytotoxicity assay
SCCB,small-cell carcinoma of the bronchus
SCCC,squamous cell cervical carcinoma
SCCH,sternocostoclavicular hyperostosis
SCCHN,squamous cell carcinoma of the head and neck
SCCHO,sternocostoclavicular hyperostosis
SCCL,small cell carcinoma of the lung
SCCM,Sertoli cell culture medium; Society of Critical Care Medicine
SCCT,severe cerebrocranial trauma
SCD,scleroderma; service-connected disability; sickle-cell disease; spinocerebellar degeneration; subacute combined degeneration; subacute coronary disease; sudden cardiac death; systemic carnitine deficiency
ScD,Doctor of Science
SCDA,situational control of daily activities [scale]
ScDA,right scapuloanterior [fetal position] [Lat. scapulodextra anterior]
SCDF,skin condition data form
ScDP,right scapuloposterior [fetal position] [Lat. scapulodextra posterior]
SCE,secretory carcinoma of the endometrium; sister chromatid exchange; split hand-cleft lip/palate ectodermal [dysplasia]; subcutaneous emphysema
SCe,somatic cell
SCEP,sandwich counterelectrophoresis; spinal cord evoked potential
SCER,sister chromatid exchange rate
SCF,Skin Cancer Foundation; stem cell factor; subcostal frontal [view]
SCFA,short-chain fatty acid
SCFE,slipped capital femoral epiphysis
SCG,serum chemistry graft; serum chemogram; sodium cromoglycate; superior cervical ganglion
SCh,succinylchloride; succinylcholine
SChE,serum cholinesterase
schiz,schizophrenia
SCHL,subcapsular hematoma of the liver
SCI,Science Citation Index; spinal cord injury; structured clinical interview
Sci,"science, scientific"
SCID,severe combined immunodeficiency [syndrome]; soft copy image display; Structured Clinical Interview for DSM-IV [diagnosis]
SCIDS,severe combined immunodeficiency syndrome
SCIDX,"severe combined immunodeficiency disease, X-linked"
SCII,Strong-Campbell Interest Inventory
SCIM,spinal cord injury medicine
"SCINT, scint",scintigraphy
SCIS,spinal cord injury service
SCIU,spinal cord injury unit
SCIV,subcutaneous intravenous
SCIWORA,spinal cord injury without radiographic abnormality
SCJ,squamocolumnar junction; sternoclavicular joint; sternocostal joint
SCK,serum creatine kinase
SCL,scleroderma; serum copper level; sinus cycle length; soft contact lens; stromal cell line; subcostal lateral [view]; symptom check list; syndrome checklist
SCL-90,symptom checklist 90
scl,"sclerosis, sclerotic, sclerosed"
ScLA,left scapuloanterior [fetal position] [Lat. scapulolaeva anterior]
SCLC,small cell lung carcinoma
SCLD,sickle-cell chronic lung disease
SCLE,subacute cutaneous lupus erythematosus
scler,"sclerosis, scleroderma"
ScLP,left scapuloposterior [fetal position] [Lat. scapulolaeva posterior]
SCL-90-R,"symptom checklist 90, revised"
SCLS,systemic capillary leak syndrome
SCM,"Schwann cell membrane; sensation, circulation, and motion; Society of Computer Medicine; soluble cytotoxic medium; spleen cell-conditioned medium; split cord malformation; spondylitic caudal myelopathy; State Certified Midwife; streptococcal cell membrane; sternocleidomastoid; surface-connecting membrane"
SCMC,spontaneous cell-mediated cytotoxicity
SCMO,Senior Clerical Medical Officer
SCN,special care nursing; suprachiasmatic nucleus
SCN1A,"sodium channel, neuronal alpha-subunit type 1"
SCNS,subcutaneous nerve stimulation
SCO,sclerocystic ovary; somatic crossing-over; subcommissural organ
SCOP,scopolamine
SCOR,Specialized Center of Research [NIH]
SCOT,subcostal [right ventricle] outflow [view]
SCP,single-celled protein; standard care plan; sodium cellulose phosphate; soluble cytoplasmic protein; specialty care physician; sterol carrier protein; submucous cleft palate; superior cerebral peduncle
scp,spherical candle power
SCPR,standard cardiopulmonary resuscitation
SCPK,serum creatine phosphokinase
SCPN,serum carboxypeptidase N
SCPNT,Southern California Postrotary Nystagmus Test
S-CPR,standard post-compression remodeling
SCPT,schizophrenic chronic paranoid type
SCR,Schick conversion rate; short consensus repeat; silicon-controlled rectifier; skin conductance response; slow-cycling rhodopsin; spondylitic caudal radiculopathy
SCr,serum creatinine
scr,scruple
SCRAM,speech-controlled respirometer for ambulation measurement
SCRF,surface coil rotating frame
scRNA,small cytoplasmic ribonucleic acid
SCS,Saethre-Chotzen syndrome; shared computer system; silicon-controlled switch; Society of Clinical Surgery; spinal cord stimulation; Splint Classification System [of ASHT]; systolic click syndrome
SCSA,subcostal shoert axis
SCSB,static charge sensitive bed
SCSIT,Southern California Sensory Integration Test
SCT,secretin; sex chromatin test; sexual compatibility test; sickle-cell trait; sperm cytotoxicity; spinal computed tomography; spinocervicothalamic; staphylococcal clumping test; sugar-coated tablet
SCT,serum creatinine
SCTAT,sex cord tumor with annular tubules
SCTR,secretin receptor
SCTx,spinal cervical traction
SCU,self-care unit; special care unit
SCUBA,self-contained underwater breathing apparatus
SCUD,septicemic cutaneous ulcerative disease
SCUF,slow continuous ultrafiltration therapy
SCU-PA,single-chain urokinase plasminogen activator
SCUT,schizophrenic chronic undifferentiated type
SCV,"sensory nerve conduction velocity; smooth, capsulated, virulent; subclavian vein; squamous-cell carcinoma of the vulva"
SCV-CPR,simultaneous compression ventilation-cardiopulmonary resuscitation
SCVIR,Society of Cardiovascular and Interventional Radiology
SCWM,subcortical white matter
SD,Sandhoff disease; senile dementia; septal defect; serologically defined; serologically detectable; serologically determined; serum defect; Shine-Dalgarno [sequence]; short dialysis; shoulder disarticulation; Shy-Draper [syndrome]; skin destruction; skin dose; somatization disorder; sphincter dilatation; spontaneous delivery; sporadic depression; Sprague-Dawley [rat]; spreading depression; stable disease; standard deviation; statistical documentation; Stensen duct; Still disease; stone disintegration; straight drainage; strength duration; streptodornase; sudden death; superoxide dismutase; systolic discharge
S-D,sickle-cell hemoglobin D; suicide-depression
S/D,sharp/dull; systolic/diastolic
Sd,stimulus drive
Sd,discriminative stimulus
SDA,right sacroanterior [fetal position] [Lat. sacrodextra anterior]; sialodacryoadenitis; specific dynamic action; succinic dehydrogenase activity
SDAT,senile dementia of Alzheimer type
SDAVF,spinal dural arteriovenous fistula
SDB,sleep-disordered breathing
SDBP,"seated (or standing, or supine) diastolic blood pressure"
SDC,serum digoxin concentration; Smith delay compensator; sodium deoxycholate; subacute combined degeneration; subclavian hemodialysis catheter; succinyldicholine; syndectan
SDCL,symptom distress check list
SDCN,"N-syndectan, neural syndectan"
SDD,sporadic depressive disease; sterile dry dressing
SDDS,"2-sulfamoyl-4,4;pr-diaminodiphenylsulfone"
SDE,specific dynamic effect; subdural empyema
SDEEG,sterotactic depth electroencephalography
SDES,symptomatic diffuse esophageal spasm
SDF,slow death factor; stress distribution factor
SDG,sucrose density gradient
SDGF,schwannoma-derived growth factor
SDH,serine dehydratase; sorbitol dehydrogenase; spinal dorsal horn; subdural hematoma; succinate dehydrogenase
SDHD,sudden death heart disease
SDI,standard deviation interval; survey diagnostic instrument
SDIHD,sudden death ischemic heart disease
SDILINE,Selective Dissemination of Information On-Line [data bank]
SDL,serum digoxin level; speech discrimination level
sdl,sideline; subline
SDM,sensory detection method; standard deviation of the mean
SDMS,Society of Diagnostic Medical Sonographers
SDN,sexually dimorphic nucleus
SDO,sudden dosage onset
SDP,shared decision-making program; right sacroposterior [fetal position] [Lat. sacrodextra posterior]
SDR,spontaneously diabetic rat; surgical dressing room
SDRS,social dysfunction rating scale
SDS,same day surgery; school dental services; self-rating depression scale; sensory deprivation syndrome; sexual differentiation scale; short depression screen; Shy-Drager syndrome; single-dose suppression; sodium dodecylsulfate; specific diagnosis service; standard deviation score; sudden death syndrome; sulfadiazine silver; sustained depolarizing shift
SDSEM,spinocerebellar degeneration-slow eye movements [syndrome]
SD-SK,streptodornase-streptokinase
SDSL,symmetrical digital single line
"SDS/PAGE,",SDS-PGE sodium dodecylsulfate-polyacrylamide gel electrophoresis
SDT,sensory detection theory; right sacrotransverse [fetal position] [Lat. sacrodextra transversa]; signal detection theory; single-donor transfusion; speech detection threshold
SDt,standard deviation of total scores
SDU,standard deviation unit; step-down unit
SDUB,short double upright brace
SDW,spin density-weighted
SDYS,Simpson dysmorphia syndrome
SE,saline enema; sanitary engineering; side effect; smoke exposure; solid extract; sphenoethmoidal; spin-echo; spongiform encephalopathy; Spurway-Eddowes [syndrome]; standard error; standard error of measurement; staphylococcal endotoxin; staphylococcal enterotoxin; starch equivalent; Starr-Edwards [prosthesis]; status epilepticus; subendothelial; subependymal nodule
S&E,safety and efficiency
Se,secretion; selenium
SE,early systolic wave
SEA,sheep erythrocyte agglutination; shock-elicited aggression; soluble egg antigen; spontaneous electrical activity; staphylococcal enterotoxin A
SEAT,sheep erythrocyte agglutination test
SEB,seborrhea; staphylococcal enterotoxin B
SEBA,staphylococcal enterotoxin B antiserum
SEBL,self-emptying blind loop
SEBM,Society of Experimental Biology and Medicine
SEC,secretin; Singapore epidemic conjunctivitis; soft elastic capsule
Sec,Seconal
sec,second; secondary; section
sec-Bu,sec-butyl
SECG,stress electrocardiography
SECRET,"stiffness of joint, elderly individuals, constitutional symptoms, arthritis, elevated erythrocyte sedimentation rate, temporal arthritis [in polymyalgia rheumatica]"
SECSY,spin echo correlated spectroscopy
sect,section
SED,sedimentation rate; skin erythema dose; spondyloepiphyseal dysplasia; standard error of deviation; staphylococcal enterotoxin D
sed,sedimentation; stool [Lat. sedes]
SEDL,"spondyloepiphyseal dysplasia, late"
sed,rt sedimentation rate
SEDT,spondyloepiphyseal dysplasia tarda
SEDT-PA,spondyloepiphyseal dysplasia tarda-progressive arthropathy
SEE,standard error of estimate
SEEG,stereotactic electroencephalography
SEER,Surveillance Epidemiology and End Results [Program]
SEF,somatically-evoked field; staphylococcal enterotoxin F
SEG,segment; soft elastic gelatin; sonoencephalogram
segm,"segment, segmented"
SEGNE,secretory granules of neural and endocrine [cells]
SEH,subependymal hemorrhage
SEI,Self-Esteem Inventory
SEL,serum ethanol level
SELF,Self-Evaluation of Life Function [scale]
SEM,sample evaluation method; scanning electron microscopy; secondary enrichment medium; standard error of measurement; standard error of the mean; systolic ejection murmur
sem,"one-half [Lat. semis]; semen, seminal"
SEMD,spondyloepimetaphyseal dysplasia
SEMDIT,"spondyloepimetaphyseal dysplasia, Irapa type"
SEMG,semenogelin
sEMG,surface electromyography
SEMI,subendocardial myocardial infarction
SEMDJL,spondyloepimetaphyseal dysplasia with joint laxity
SEN,scalp-ear-nipple [syndrome]; State Enrolled Nurse
sen,"sensitive, sensitivity"
SENIC,study of the efficacy of nosocomial infection control
SENS,sensitivity or sensitization; Stewart evaluation of nursing scale
SENSOR,Sentinel Event Notification System for Occupational Risks
sens,"sensation, sensorium, sensory"
SEP,self-evaluation process; sensory-evoked potential; septum; somatosensory evoked potential; sperm entry point; spinal evoked potential; surface epithelium; systolic ejection period
sEP,single evoked potential
separ,"separation, separation"
SEQ,side effects questionnaire
seq,"sequence; sequel, sequela, sequelae; sequestrum"
SER,"sebum excretion rate; sensitizer enhancement ratio; sensory evoked response; service; smooth endoplasmic reticulum; smooth-surface endoplasmic reticulum; somatosensory evoked response; supination, external rotation [fracture]; surgical emergency room; systolic ejection rate"
Ser,serine; serology; serous; service
sER,smooth endoplasmic reticulum
ser,"series, serial"
SER-IV,"supination external rotation, type 4 fracture"
SerCl,serum chloride
SERHOLD,National Biomedical Serials Holding Database
SERLINE,Serials on Line
"sero, serol","serological, serology"
SERPIN,serpine protease inhibitor
SERS,Stimulus Evaluation/Response Selection [test]
SERT,sustained ethanol release tube
serv,"keep, preserve [Lat. serva]; service"
SERVHEL,Service and Health Records
SES,Society of Eye Surgeons; socioeconomic status; spatial emotional stimulus; sphenoethmoidal suture; subendothelial space
SESAP,Surgical Educational and Self-Assessment Program
SET,surrogate embryo transfer; systolic ejection time
SET-N,software evaluation tool for nursing
SETTS,subjective experience of therapeutic touch survey
sev,severe; severed
SEWHO,shoulder-elbow-wrist-hand orthosis
SF,Sabin-Feldman [test]; safety factor; salt-free; scarlet fever; screen film; seminal fluid; serosal fluid; serum factor; serum ferritin; serum fibrinogen; sham feeding; shell fragment; shunt flow; sickle cell-hemoglobin F [disease]; simian foam-virus; skin fibroblast; soft feces; spinal fluid; spontaneous fibrillation; stable factor; steel factor; sterile female; stress formula; sugar-free; superior facet; suppressor factor; suprasternal fossa; surviving fraction; Svedberg flotation [unit]; swine fever; symptom-free; synovial fluid
SF-36,short-form health survey [36 items]
Sf,Streptococcus faecalis
Sf,Svedberg flotation unit
SFA,saturated fatty acid; seminal fluid assay; serum folic acid; stimulated fibrinolytic activity; superior femoral artery
SFAP,single-fiber action potential
SFB,Sanfilippo syndrome type B; saphenofemoral bypass; surgical foreign body
SFBL,self-filling blind loop
SFC,soluble fibrin complex; soluble fibrin-fibrinogen complex; spinal fluid count
SFD,silo filler\u0027s disease; skin-film distance; small for dates; spectral frequency distribution
SFE,slipped femoral epiphysis
SFEMG,single fiber electromyography
SFFA,serum free fatty acid
SFFF,sedimentation field flow fractionation
SFFV,spleen focus-forming virus
SFG,subglottic foreign body
SFH,schizophrenia family history; serum-free hemoglobin; stroma-free hemoglobin
SFI,Sexual Function Index; Social Function Index
SFIS,structural family interaction scale
SFL,synovial fluid lymphocyte
SFM,Schimmelpenning-Fuerstein-Mims [syndrome]; serum-free medium; solution-focused management
SFMC,soluble fibrin monomer complex
SFP,screen filtration pressure; simultaneous foveal perception; spinal fluid pressure; stopped flow pressure
SFR,screen filtration resistance; stroke with full recovery
SFS,serial foveal seizures; skin and fascia stapler; social functioning schedule; spatial frequency spectrum; split function study
SFT,Sabin-Feldman test; sensory feedback therapy; skinfold thickness
SFU,surgical follow-up
SFV,Semliki Forest virus; shipping fever virus; Shope fibroma virus; squirrel fibroma virus
SFW,sexual function of women; shell fragment wound; slow-filling wave
SG,Sachs-Georgi [test]; salivary gland; serum globulin; serum glucose; signs; skin graft; soluble gelatin; specific gravity; subgluteal; substantia gelatinosa; Surgeon General
sg,specific gravity
SGA,small for gestational age
SGAW,specific airway conductance
SGB,Simpson-Golabi-Behmel [syndrome]; sparsely granulated basophil
SGBS,Simpson-Golabi-Behmel syndrome
SGC,spermicide-germicide compound
SGCA,subependymal giant cell astrocytoma
SGD,specific granule deficiency
SGE,secondary generalized epilepsy
SGF,sarcoma growth factor; skeletal growth factor
SGH,subgluteal hematoma
SGL,salivary gland lymphocyte
SGLT,sodium-glucose transporter
SGM,Society for General Microbiology
SGML,standard generalized markup language [of ISO]
SGNE,secretory granule neuroendocrine [protein]
SGO,"Surgeon General\u0027s Office; surgery, gynecology, and obstetrics"
SGOT,serum glutamate oxaloacetate transaminase (aspartate aminotransferase)
SGP,serine glycerophosphatide; sialoglycoprotein; Society of General Physiologists; soluble glycoprotein; sulfated glycoprotein
SGPA,salivary gland pleomorphic adenoma
SGPT,serum glutamate pyruvate transaminase (alanine aminotransferase)
SGR,Sachs-Georgi reaction; Shwartzman generalized reaction; skin galvanic reflex; submandibular gland renin; substantia gelatinosa Rolandi
SGSG,Scandinavian Glioma Study Group
S-Gt,Sachs-Georgi test
SGTT,standard glucose tolerance test
SGV,salivary gland virus; selective gastric vagotomy
SGVHD,syngeneic graft-versus-host disease
SH,Salter-Harris [fracture]; Schonlein-Henoch [purpura]; self-help; serum hepatitis; sexual harassment; sex hormone; Sherman [rat]; sick in hospital; sinus histiocytosis; social history; somatotropic hormone; spontaneously hypertensive [rat]; standard heparin; state hospital; sulfhydryl; surgical history; symptomatic hypoglycemia; syndrome of hyporeninemic hypoaldosteronism; systemic hyperthermia
S/H,sample and hold
S&H,speech and hearing
Sh,sheep; Sherwood number; Shigella; shoulder
sh,shoulder
SHA,staphylococcal hemagglutinating antibody
sHa,suckling hamster
SHAA,serum hepatitis associated antigen; Society of Hearing Aid Audiologists
SHAA-Ab,serum hepatitis associated antigen antibody
SHAFT,"sad, hostile, anxious, frustrating, tenacious [patient] syndrome"
SHARP,school health additional referral program
SHB,sequential hemibody [irradiation]
S-Hb,sulfhemoglobin
SHBD,serum hydroxybutyric dehydrogenase
SHBG,sex hormone binding globulin
SHCC,State Health Coordinating Council
SHCO,sulfated hydrogenated castor oil
SHD,sudden heart death
SHE,Syrian hamster embryo
SHEENT,"skin, head, eyes, ears, nose, and throat"
SHEP,Systolic Hypertension in the Elderly Program
SHF,simian hemorrhagic fever
shf,super-high frequency
SHFD,split hand/foot deformity
SHG,synthetic human gastrin
SHH,syndrome of hyporeninemic hypoaldosternonism
SHHD,Scottish Home and Health Department
SHHH,self-help for hard of hearing
SHHV,Society for Health and Human Values
SHI,significant head injury
Shig,Shigella
SHL,sensorineural hearing loss
SHLA,soluble human lymphocyte antigen
SHLD,shoulder
SHMC,sinus histiocytosis with massive lymphadenopathy
SHML,sinus histiocytosis with massive lymphadenopathy
"SHMO, S/HMO",social health maintenance organization
SHMP,Senior Hospital Medical Officer
SHMT,serine-hydroxymethyl transferase
SHN,spontaneous hemorrhagic necrosis; subacute hepatic necrosis
SHO,secondary hypertrophic osteoarthropathy; Senior House Officer
"SHORT, S-H-O-R-T","short stature, hyperextensibility of joints or hernia or both, ocular depression, Rieger anomaly, teething delayed"
short-FRAME,short stature-facial anomalies-Rieger anomaly-midline anomalies-enamel defects [syndrome]
SHP,Schonlein-Henoch purpura; secondary hyperparathyroidism; state health plan
SHPDA,State Health Planning and Development Agency
sHPT,secondary hyperparathyroidism
SHR,spontaneously hypertensive rat
SHS,Sayre head sling; sheep hemolysate supernatant
SHSP,spontaneously hypertensive stroke-prone [rat]
SHSS,Stanford Hypnotic Susceptibility Scale
SHT,simple hypocalcemic tetany; subcutaneous histamine test
SHTTP,secure hypertext transport protocol
SHUR,System for Hospital Uniform Reporting
SHV,simian herpes virus
SI,International System of Units [Fr. le Systeme International d\u0027Unites]; sacroiliac; saline infusion; saline injection; saturation index; self-inflicted; sensory integration; septic inflammation; serious illness; serum iron; severity index; sex inventory; signal intensity; Singh Index; single injection; small intestine; social interaction; soluble insulin; spirochetosis icterohaemorrhagica; stimulation index; stress incontinence; stroke index; sucrase isomaltase; suppression index
Si,the most anterior point on the lower contour of the sella turcica [point]; silicon
S&I,suction and irrigation
SIA,serum inhibitory activity; stress-induced analgesia; stress-induced anesthesia; subacute infectious arthritis
SIADH,syndrome of inappropriate secretion of antidiuretic hormone
SIB,self-injurious behavior
"sib, sibs","sibling, siblings"
SIC,serum insulin concentration; Standard Industrial Classification
SICD,serum isocitrate dehydrogenase
SICU,spinal intensive care unit; surgical intensive care unit
SID,single intradermal [test]; Society for Investigative Dermatology; sucrase-isomaltase deficiency; sudden inexplicable death; sudden infant death; suggested indication of diagnosis; systemic inflammatory disease
SIDAM,structured interview for the diagnosis of dementia of the Alzheimer type
SIDS,sudden infant death syndrome; sulfo-iduronate sulfatase
SIE,stroke in evolution
SIECUS,Sex Information and Education Council of the United States
SIF,serum-inhibition factor
SIFT,selector ion flow tube
SIG,small inducible gene
"SIg, sIg",surface immunoglobulin
sig,sigmoidoscopy; significant
S-IgA,secretory immunoglobulin A
SIGH-D,structured interview for the Hamilton Depression Scale
S,Greek capital letter sigma; syphilis; summation of series
s,Greek lower case letter sigma; conductivity; cross section; millisecond; molecular type or bond; population standard deviation; stress; surface tension; wave number
sigmo,sigmoidoscope or sigmoidoscopy
SIH,stimulation-induced hypalgesia; stress-induced hyperthermia; suction-induced hypoxemia
SIHE,spontaneous intramural hematoma of the esophagus
SI-HRDS,structured interview Hamilton rating scale for depression
SII,self-inflicted injury
SIJ,sacroiliac joint
SIL,soluble interleukin; speech interference level
SILD,Sequenced Inventory of Language Development
SIM,selected ion monitoring; Society of Industrial Microbiology
SIMA,single internal mammary artery
SIMP,Schmele instrument to measure the process of nursing care
SIMP-C,Schmele instrument to measure the process of nursing care
SIMP-H,Schmele instrument to measure the process of nursing care in home care
SIMS,secondary ion mass spectroscopy
simul,simultaneously
SIMV,synchronized intermittent mandatory ventilation; synchronized intermittent mechanical ventilation
SIN,salpingitis isthmica nodosa
SIO,sacroiliac orthosis
SIOP,International Society of Pediatric Oncology
SIP,Sickness Impact Profile; slow inhibitory potential; surface inductive plethysmography
sIPTH,serum immunoreactive parathyroid hormone
SIQ,Symptom Interpretation Questionnaire
SIQR,semi-interquartile range
SIR,single isomorphous replacement; specific immune release; standardized incidence ratio; syndrome of immediate reactivities
SIRA,Scientific Instrument Research Association
SIREF,specific immune response enhancing factor
SIRF,severely impaired renal function
SIRS,soluble immune response suppressor; Structured Interview of Reported Symptoms; systemic inflammatory response syndrome
SIS,semantic indexing system; serotinin irritation syndrome; simian sarcoma; simulator-induced syndrome; social information system; spontaneous interictal spike; sterile injectable solution; sterile injectable suspension
SISH,Stage I Systolic Hypertension in the Elderly [study]
SISI,short increment sensitivity index
SISS,Sentinel Injury Surveillance System [for Gunshot and Stab Wounds] small inducible secreted substances
"SISV, SiSV",simian sarcoma virus
SIT,serum inhibiting titer; Slosson Intelligence Test; sperm immobilization test; suggested immobilization test
SITS,"supraspinatus, infraspinatus, teres minor, subscapularis [shoulder muscles comprising the rotator cuff]"
SIV,simian immunodeficiency virus; Sprague-Dawley-Ivanovas [rat]
SIVagm,simian immunodeficiency virus from African green monkeys
SIVMAC,simian immunodeficiency virus of macaques
SIW,self-inflicted wound
SIWIP,self-induced water intoxication and psychosis
SIWIS,self-induced water intoxication and schizophrenic disorders
SJ,Jaccard coefficient
SJA,Schwartz-Jampel-Aberfeld [syndrome]
SjO2,jugular bulb venous oxygen saturation
SJR,Shinowara-Jones-Reinhart [unit]
SJS,Stevens-Johnson syndrome; stiff joint syndrome; Swyer-James syndrome
SjS,Sjogren syndrome
SjVO2,jugular venous oxygen saturation
SK,seborrheic keratosis; senile keratosis; Sloan-Kettering [Institute for Cancer Research]; spontaneous killer [cell]; streptokinase; swine kidney
Sk,skin
SKA,supracondylar knee-ankle [orthosis]
SKALP,skin-derived antileukoproteinase
SKAT,Sex Knowledge and Attitude Test
skel,"skeleton, skeletal"
SKI,Sloan-Kettering Institute
SKL,serum killing level
"SKSD, SK-SD",streptokinase-streptodornase
sk,trx skeletal traction
SL,sarcolemma; sclerosing leukoencephalopathy; secondary leukemia; segment length; sensation level; sensory latency; septal leaflet; short-leg [brace]; Sibley-Lehninger [unit]; signal level; Sinding Larsen [syndrome]; Sjogren-Larsson [syndrome]; slit lamp; small lymphocyte; sodium lactate; solidified liquid; sound level; Stein-Leventhal [syndrome]; streptolysin; sublingual
SL,"systolic wave, latent"
S/L,sublingual
Sl,Steel [mouse]
sl,in a broad sense [Lat. sensu lato]; stemline; sublingual
SLA,left sacroanterior [fetal position] [Lat. sacrolaeva anterior]; single-cell liquid cytotoxic assay; slide latex agglutination; soluble liver antigen; superficial linear array; surfactant-like activity
SLA,"segment length, anterior"
SLAC,scapholunate advanced collapse [wrist]
SLAM,scanning laser acoustic microscope; systemic lupus erythematosus activity measure
SLAP,serum leucine aminopeptidase
SLAT,simultaneous laryngoscopy and abdominal thrusts
SLB,short-leg brace
SLC,short-leg cast
SLCC,short-leg cylinder cast
"SLD, SLDH",serum lactate dehydrogenase; sublethal damage
SLDR,sublethal damage repair
SLE,slit lamp examination; St. Louis encephalitis; systemic lupus erythematosus
SLEA,sheep erythrocyte antibody
SLEDAI,systemic lupus erythematosus disease activity index
SLEP,short latent evoked potential
SLEV,St. Louis encephalitis virus
SLHR,sex-linked hypophosphatemic rickets
SLI,selective lymphoid irradiation; somatostatin-like immunoreactivity; splenic localization index
SLI,"segment length, inferior"
SLIC,scanning liquid ionization chamber
SLIDRC,Student Loan Interest Deduction Restoration Coalition
SLIP,serial line interface protocol
SLIR,somatostatin-like immunoreactivity
SLK,superior limbic keratoconjunctivitis
SLKC,superior limbic keratoconjunctivitis
SLL,small lymphocytic lymphoma
SLL,"segment length, lateral"
SLM,sound level meter
SLMC,spontaneous lymphocyte-mediated cytotoxicity
SLN,sublentiform nucleus; superior laryngeal nerve
SLNWBC,short-leg nonweightbearing cast
SLNWC,short-leg nonwalking cast
SLO,Smith-Lemli-Opitz syndrome; streptolysin O
SLOS,Smith-Lemli-Opitz syndrome
SLP,left sacroposterior [fetal position] [Lat. sacrolaeva posterior]; segmental limb systolic pressure; sex-limited protein; short luteal phase; subluxation of the patella
SLPI,secretory leukocyte protease inhibitor
SLPP,serum lipophosphoprotein
SLR,Shwartzman local reaction; single lens reflex; straight leg raising
SLRT,straight leg raising test
SLS,segment long-spacing; short-leg splint; single limb support; Sjogren-Larsson syndrome; stagnant loop syndrome; Stein-Leventhal syndrome
SLS,"segment length, septal"
SLT,left sacrotransverse [fetal position] [Lat. sacrolaeva transversa]; single lung transplantation; smokeless tobacco; solid logic technology
SLUD,"salivation, lacrimation, urination, defecation"
SLUDGE,"salivation, lacrimation, urination, defecation, gastrointestinal upset, emesis"
SLWC,short-leg walking cast
SM,Master of Science; sadomasochism; self-monitoring; silicon microphysiometer; simple mastectomy; skim milk; smooth muscle; somatomedin; space medicine; sphingomyelin; splenic macrophage; sports medicine; streptomycin; Strumpell-Marie [syndrome]; submandibular; submaxillary; submucous; suckling mouse; sucrose medium; suction method; superior mesenteric; surgical microscope; surrogate mother; sustained medication; symptoms; synaptic membrane; synovial membrane; systolic motion; systolic murmur
S/M,sudomasochism
Sm,"samarium; Serratia marcescens, Smith [antigen]"
sm,smear
sM,suckling mouse
SMA,sequential multiple analysis or analyzer; sequential multichannel autoanalyzer; simultaneous multichannel autoanalyzer; smooth muscle antibody; Society for Medical Anthropology; somatomedin A; spinal muscular atrophy; spontaneous motor activity; standard method agar; superior mesenteric artery; supplementary motor area
SM-A,somatomedin A
SMA-6,Sequential Multiple Analysis-m-six different serum tests
SMABF,superior mesenteric artery blood flow
SMAC,Sequential Multiple Analyzer Computer
SMAE,superior mesenteric artery embolism
